,title,company,rating,location,salary,summary
33,Cloud DevOps Engineer,Siemens Technology and Services Private Limited,4.0,"Pune, Maharashtra",,"Work with business and technology teams to define scalable, cloud-native solutions for application delivery.Use systems for managing development including Jira…2 days ago·More...View all Siemens Technology and Services Private Limited jobs - Pune jobsSalary Search: Cloud DevOps Engineer salaries in Pune, MaharashtraSee popular questions & answers about Siemens Technology and Services Private Limited"
34,Cloud Engineer,TechBlocks,,"Hyderabad, Telangana•Remote",,"Designing, developing and deploying modular cloud-based systems.Developing and maintaining cloud solutions in accordance with best practices.30+ days ago·More...View all TechBlocks jobs - Hyderabad jobsSalary Search: Cloud Engineer salaries in Hyderabad, Telangana"
35,"Lead Engineer - 2,Informatica ETL Developer",PepsiCo,3.8,"Hyderabad, Telangana",,"In this capacity, this role will be responsible for the design and implementation of data integration solutions to enable sector IT transformation and…8 days ago·More...View all PepsiCo jobs - Hyderabad jobsSalary Search: Lead Engineer - 2,Informatica ETL Developer salaries in Hyderabad, TelanganaSee popular questions & answers about PepsiCo"
36,Snowflake Cloud Data Engineer,Impetus Technologies,4.1,"Hyderabad, Telangana+7 locations",,"Nice to have experience in Data Migration from RDBMS to Snowflake cloud data warehouse.Should be able to design, develop and being responsible for…18 days ago·More...View all Impetus Technologies jobs - Hyderabad jobsSalary Search: Snowflake Cloud Data Engineer salaries in Hyderabad, TelanganaSee popular questions & answers about Impetus Technologies"
37,AVP-Cloud Key Mgmt. Engineer,Standard Chartered,4.1,"Bengaluru, Karnataka",,"Operates and provide expert guidance on encryption, key management solutions in the cloud.Hands on experience in public clouds (AWS/Azure) is a must.30+ days ago·More...View all Standard Chartered jobs - Bengaluru jobsSalary Search: AVP-Cloud Key Mgmt. Engineer salaries in Bengaluru, KarnatakaSee popular questions & answers about Standard Chartered"
38,Cloud Engineer,Teradata,3.8,"Hyderabad, Telangana+1 location",,"Implement Cloud services that manage the infrastructure and control plane on the public cloud platforms.Bachelor’s or Master’s Degree in Computer Science.30+ days ago·More...View all Teradata jobs - Hyderabad jobsSalary Search: Cloud Engineer salaries in Hyderabad, TelanganaSee popular questions & answers about Teradata"
39,Cloud Support Associate,AISPL - Telangana,3.5,"Hyderabad, Telangana",,"AISPL Support team is seeking engineers that enjoy solving problems, working with customers, and have technical backgrounds from a variety of different fields…14 days ago·More...View all AISPL - Telangana jobs - Hyderabad jobsSalary Search: Cloud Support Associate salaries in Hyderabad, TelanganaSee popular questions & answers about AISPL - Telangana"
40,Associate Cloud Engineer,Presidio India,,"Chennai, Tamil Nadu",,"Cloud (Exposure to any of the leading cloud platforms such as AWS, Azure, GCP, etc.).Strong grasp of one or more programming languages such as Python, Go, Ruby…4 days ago·More...View all Presidio India jobs - Chennai jobsSalary Search: Associate Cloud Engineer salaries in Chennai, Tamil Nadu"
41,Software Engineer - Cloud,ThoughtSpot,,"Hyderabad, Telangana",,"Prior expertise in building cloud-based platforms and applications that run on public cloud (AWS / Azure / GCP).30+ days ago·More...View all ThoughtSpot jobs - Hyderabad jobsSalary Search: Software Engineer - Cloud salaries in Hyderabad, Telangana"
42,Senior cloud Engineer (Azure),Unyscape Infocom Pvt. Ltd,,"Noida, Uttar Pradesh•Temporarily Remote","₹15,00,000 a year","Azure Cloud Architect or Azure Cloud Migration expert.1 : Work closely with client and team and understanding the requirement, design,analyse and do the code…3 days ago·More...View all Unyscape Infocom Pvt. Ltd jobs - Noida jobsSalary Search: Senior cloud Engineer (Azure) salaries in Noida, Uttar Pradesh"
