,title,company,rating,location,salary,summary
60,Python developer,dv-indan,,"Chennai, Tamil Nadu",,"Python developer for a startup company in the field of process manufacturing industrial analytics.The candidate will be the main full stack developer of this…2 days ago·More...View all dv-indan jobs - Chennai jobsSalary Search: Python developer salaries in Chennai, Tamil Nadu"
61,Python Developer,BizViz Technologies Pvt Ltd,4.5,"Bengaluru, Karnataka•Temporarily Remote","₹40,000 - ₹70,000 a month","Requirements*: • * Expert in Python, with knowledge of at least one Python web framework (Django, Flask, etc).• Hands on experience in working with Kafka.15 days ago·More...View all BizViz Technologies Pvt Ltd jobs - Bengaluru jobsSalary Search: Python Developer salaries in Bengaluru, Karnataka"
62,Python Developer,BizViz Technologies Pvt Ltd,4.5,"Bengaluru, Karnataka•Temporarily Remote","₹40,000 - ₹70,000 a month","Requirements*: • * Expert in Python, with knowledge of at least one Python web framework (Django, Flask, etc).• Hands on experience in working with Kafka.15 days ago·More...View all BizViz Technologies Pvt Ltd jobs - Bengaluru jobsSalary Search: Python Developer salaries in Bengaluru, Karnataka"
63,Software Developer (Fresher),White Net Group,,"Bengaluru, Karnataka•Remote","₹10,000 - ₹15,000 a month","Minimum Qualification- B.tech or MCA.Technical Skills - Asp.net,Java,PHP,Python.3 days ago·More...View all White Net Group jobs - Bengaluru jobsSalary Search: Software Developer (Fresher) salaries in Bengaluru, Karnataka"
64,Python Developer,AppleTech,,"Vadodara, Gujarat•Remote","₹12,000 - ₹40,000 a month","Minimum 1 year of work experience.Backend development skills in Python, Django and Django Rest Framework(DRF).Understanding of Version Control Systems (git).2 days ago·More...View all AppleTech jobs - Vadodara jobsSalary Search: Python Developer salaries in Vadodara, Gujarat"
65,Full Stack Developer – Python,Vivify Healthcare Pvt. Ltd.,,"Visakhapatnam, Andhra Pradesh","₹40,000 - ₹70,000 a month","Hospital Information System-iHelix Hospital is an enterprise-wide solution that provides complete patient information across all points of care.7 days ago·More...View all Vivify Healthcare Pvt. Ltd. jobs - Visakhapatnam jobsSalary Search: Full Stack Developer – Python salaries in Visakhapatnam, Andhra Pradesh"
66,Software Developer,DCKAP,,"Chennai, Tamil Nadu•Remote","₹2,50,000 a month","*Have a passion for coding that is reflected in a good grasp of the language, programming, and related concepts.*.PHP, Python, Java: 1 year (Preferred).1 day ago·More...View all DCKAP jobs - Chennai jobsSalary Search: Software Developer salaries in Chennai, Tamil Nadu"
67,Developer midlevel-Hold,CGI Inc,3.6,"Bengaluru, Karnataka",,"Position Description: Python/ Java developer Skills: Java What you can expect from us: Build your career with us. It is an extraordinary time to be in…1 day ago·More...View all CGI Inc jobs - Bengaluru jobsSalary Search: Developer midlevel-Hold salaries in Bengaluru, KarnatakaSee popular questions & answers about CGI Inc"
68,Python Developer,Roritech,,"Noida, Uttar Pradesh","₹15,000 - ₹20,000 a month","Responsible for coding, designing, * *deploying, and debugging development projects*, typically on the server-side (or back-end).6 days ago·More...View all Roritech jobs - Noida jobsSalary Search: Python Developer salaries in Noida, Uttar Pradesh"
69,Software Developer,Plasticontechnologies,,"Hyderabad, Telangana","₹20,000 - ₹50,000 a month","Job-type: java, php, python, react.Total work: 1 year (Preferred).18 days ago·More...View all Plasticontechnologies jobs - Hyderabad jobsSalary Search: Software Developer salaries in Hyderabad, Telangana"
70,Python Developer Intern,OXO Solutions,,India,"₹4,000 a week","Collaborate with other developers, testers, and system engineers to ensure quality product enhancements.We are looking for a Python Web Developer responsible…30+ days ago·More...View all OXO Solutions jobs - India jobsSalary Search: Python Developer Intern salaries in India"
71,Python Developer,Insta Admission Private Limited,,"Delhi, Delhi•Temporarily Remote","₹6,000 - ₹8,000 a month","Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services.1 day ago·More...View all Insta Admission Private Limited jobs - Delhi jobsSalary Search: Python Developer salaries in Delhi, Delhi"
72,Django Developer,Tech Arion private limited,,"Hyderabad, Telangana","₹12,000 - ₹30,000 a month","Performance tuning and automation of application.Testing and debugging software applications with Python test framework tools like Behave, Pytest, PyUnit, etc.6 days ago·More...View all Tech Arion private limited jobs - Hyderabad jobsSalary Search: Django Developer salaries in Hyderabad, Telangana"
73,python full stack developer,iNFOX Technologies,4.0,"Ernakulam, Kerala+1 location•Temporarily Remote","₹15,000 - ₹25,000 a month","WE PREFER ALL CANDIDATES FROM *KERALA ONLY *.Job Types: Full-time, Fresher.Temporarily due to COVID-19.2 days ago·More...View all iNFOX Technologies jobs - Ernakulam jobsSalary Search: python full stack developer salaries in Ernakulam, Kerala"
74,Python (Django/Flask) and Azure (Cassandra/Postgres) Develop...,FlexC,,"Bengaluru, Karnataka•Remote","₹12,681 - ₹60,717 a month","3+ years of strong experience in software development using Python (Django/Flask) and Azure (Cassandra/Postgres).Expert knowledge on Python programming.5 days ago·More...View all FlexC jobs - Bengaluru jobsSalary Search: Python (Django/Flask) and Azure (Cassandra/Postgres) Developer salaries in Bengaluru, Karnataka"
75,Developer II,Intercontinental Exchange,3.4,"Hyderabad, Telangana",,"This role will be part of a team of software developers responsible for building and maintaining global corporate tools to support various teams throughout the…3 days ago·More...View all Intercontinental Exchange jobs - Hyderabad jobsSalary Search: Developer II salaries in Hyderabad, Telangana"
